year,month,area,uf,className,numPol
2020,1,2.91,AM,DESMATAMENTO_VEG,24
2020,2,1.3,AM,DESMATAMENTO_VEG,8
2020,3,0.48,AM,DESMATAMENTO_VEG,3
2020,4,0.12,AM,DESMATAMENTO_VEG,1
2020,5,1.93,AM,DESMATAMENTO_VEG,8
2020,6,5.11,AM,DESMATAMENTO_VEG,45
2023,8,0.59,AM,DESMATAMENTO_VEG,4
2020,7,7.94,AM,DESMATAMENTO_VEG,42
2020,8,1.63,AM,DESMATAMENTO_VEG,12
2023,7,3.74,AM,DESMATAMENTO_VEG,32
2020,12,0.14,AM,DESMATAMENTO_VEG,1
2023,6,4.92,AM,DESMATAMENTO_VEG,41
2021,5,3.86,AM,DESMATAMENTO_VEG,26
2021,6,5.47,AM,DESMATAMENTO_VEG,39
2023,5,9.68,AM,DESMATAMENTO_VEG,49
2021,7,1.79,AM,DESMATAMENTO_VEG,14
2023,4,1.7,AM,DESMATAMENTO_VEG,13
2021,9,0.16,AM,DESMATAMENTO_VEG,2
2021,10,0.45,AM,DESMATAMENTO_VEG,1
2023,3,3.14,AM,DESMATAMENTO_VEG,21
2022,5,0.88,AM,DESMATAMENTO_VEG,3
2022,6,1.18,AM,DESMATAMENTO_VEG,12
2023,2,0.1,AM,DESMATAMENTO_VEG,1
2022,7,32.33,AM,DESMATAMENTO_VEG,20
2022,8,2.16,AM,DESMATAMENTO_VEG,23
2023,1,0.45,AM,DESMATAMENTO_VEG,5
2022,9,0.06,AM,DESMATAMENTO_VEG,1
2022,11,0.09,AM,DESMATAMENTO_VEG,1
2020,8,217.17,AM,DESMATAMENTO_CR,1571
2015,11,40.73,AM,DESMATAMENTO_CR,185
2024,5,107.09,AM,DESMATAMENTO_CR,348
2017,3,1.27,AM,DESMATAMENTO_CR,5
2022,11,85.73,AM,DESMATAMENTO_CR,518
2024,3,35.46,AM,DESMATAMENTO_CR,133
2023,12,11.77,AM,DESMATAMENTO_CR,62
2024,9,69.99,AM,DESMATAMENTO_CR,366
2022,10,142.28,AM,DESMATAMENTO_CR,731
2020,7,278.09,AM,DESMATAMENTO_CR,1472
2017,2,3.9,AM,DESMATAMENTO_CR,24
2019,4,40.71,AM,DESMATAMENTO_CR,94
2022,9,283.87,AM,DESMATAMENTO_CR,1113
2015,9,64.87,AM,DESMATAMENTO_CR,441
2016,9,114.77,AM,DESMATAMENTO_CR,477
2023,8,81.09,AM,DESMATAMENTO_CR,483
2023,1,13.49,AM,DESMATAMENTO_CR,23
2022,8,306.76,AM,DESMATAMENTO_CR,1113
2020,6,167.17,AM,DESMATAMENTO_CR,885
2017,1,8.57,AM,DESMATAMENTO_CR,30
2018,6,83.17,AM,DESMATAMENTO_CR,306
2015,10,58.9,AM,DESMATAMENTO_CR,298
2019,3,43.5,AM,DESMATAMENTO_CR,93
2022,7,457.37,AM,DESMATAMENTO_CR,1799
2023,2,45.87,AM,DESMATAMENTO_CR,109
2017,6,182.15,AM,DESMATAMENTO_CR,493
2020,5,180.38,AM,DESMATAMENTO_CR,494
2022,6,395.46,AM,DESMATAMENTO_CR,1300
2017,4,18.18,AM,DESMATAMENTO_CR,28
2015,12,18.83,AM,DESMATAMENTO_CR,83
2022,5,296.62,AM,DESMATAMENTO_CR,1107
2020,4,77.27,AM,DESMATAMENTO_CR,165
2019,2,9.87,AM,DESMATAMENTO_CR,22
2016,12,0.18,AM,DESMATAMENTO_CR,1
2022,4,346.64,AM,DESMATAMENTO_CR,897
2016,1,22.05,AM,DESMATAMENTO_CR,136
2023,3,121.53,AM,DESMATAMENTO_CR,282
2022,3,105.86,AM,DESMATAMENTO_CR,212
2023,9,84.14,AM,DESMATAMENTO_CR,518
2020,3,71.17,AM,DESMATAMENTO_CR,143
2017,12,11.69,AM,DESMATAMENTO_CR,97
2022,2,40.49,AM,DESMATAMENTO_CR,77
2024,7,163.56,AM,DESMATAMENTO_CR,913
2024,1,8.63,AM,DESMATAMENTO_CR,61
2022,1,43.7,AM,DESMATAMENTO_CR,160
2018,5,120.37,AM,DESMATAMENTO_CR,313
2015,8,73.61,AM,DESMATAMENTO_CR,488
2017,7,78.9,AM,DESMATAMENTO_CR,261
2019,1,4.71,AM,DESMATAMENTO_CR,29
2020,2,19.31,AM,DESMATAMENTO_CR,87
2021,12,6.25,AM,DESMATAMENTO_CR,29
2017,9,20.56,AM,DESMATAMENTO_CR,85
2021,11,9.6,AM,DESMATAMENTO_CR,59
2020,1,10.53,AM,DESMATAMENTO_CR,92
2016,4,59.54,AM,DESMATAMENTO_CR,131
2021,10,113.19,AM,DESMATAMENTO_CR,472
2018,12,0.23,AM,DESMATAMENTO_CR,3
2016,6,228.56,AM,DESMATAMENTO_CR,667
2021,9,227.01,AM,DESMATAMENTO_CR,1131
2019,12,6.11,AM,DESMATAMENTO_CR,52
2023,4,86.22,AM,DESMATAMENTO_CR,272
2024,4,24.35,AM,DESMATAMENTO_CR,81
2016,11,13.42,AM,DESMATAMENTO_CR,75
2018,11,15.86,AM,DESMATAMENTO_CR,80
2021,8,198.32,AM,DESMATAMENTO_CR,1157
2023,10,41.36,AM,DESMATAMENTO_CR,313
2018,4,84.1,AM,DESMATAMENTO_CR,185
2017,5,71.9,AM,DESMATAMENTO_CR,170
2019,11,21.36,AM,DESMATAMENTO_CR,128
2016,8,155.12,AM,DESMATAMENTO_CR,713
2021,7,429.62,AM,DESMATAMENTO_CR,2261
2023,5,137.66,AM,DESMATAMENTO_CR,449
2018,10,67.98,AM,DESMATAMENTO_CR,282
2021,6,213.71,AM,DESMATAMENTO_CR,991
2019,10,42.05,AM,DESMATAMENTO_CR,247
2021,5,342.74,AM,DESMATAMENTO_CR,1100
2017,11,22.6,AM,DESMATAMENTO_CR,133
2024,2,31.9,AM,DESMATAMENTO_CR,106
2019,9,174.47,AM,DESMATAMENTO_CR,945
2021,4,173.47,AM,DESMATAMENTO_CR,336
2018,3,32.75,AM,DESMATAMENTO_CR,78
2021,3,61.41,AM,DESMATAMENTO_CR,100
2018,9,152.64,AM,DESMATAMENTO_CR,677
2016,2,14.84,AM,DESMATAMENTO_CR,62
2023,6,121.33,AM,DESMATAMENTO_CR,604
2021,2,25.43,AM,DESMATAMENTO_CR,98
2021,1,5.86,AM,DESMATAMENTO_CR,24
2016,10,107.52,AM,DESMATAMENTO_CR,508
2019,8,189.61,AM,DESMATAMENTO_CR,1050
2017,8,49.16,AM,DESMATAMENTO_CR,189
2020,12,5.73,AM,DESMATAMENTO_CR,33
2022,12,18.87,AM,DESMATAMENTO_CR,106
2018,8,88.59,AM,DESMATAMENTO_CR,548
2020,11,21.81,AM,DESMATAMENTO_CR,105
2023,11,13.48,AM,DESMATAMENTO_CR,99
2024,6,129.41,AM,DESMATAMENTO_CR,578
2016,5,82.49,AM,DESMATAMENTO_CR,241
2019,7,403.67,AM,DESMATAMENTO_CR,1422
2020,10,88.49,AM,DESMATAMENTO_CR,514
2016,7,216.33,AM,DESMATAMENTO_CR,748
2016,3,26.69,AM,DESMATAMENTO_CR,147
2017,10,69.23,AM,DESMATAMENTO_CR,276
2020,9,115.62,AM,DESMATAMENTO_CR,679
2019,6,187.48,AM,DESMATAMENTO_CR,490
2023,7,83.62,AM,DESMATAMENTO_CR,525
2024,10,22.74,AM,DESMATAMENTO_CR,134
2018,7,128.39,AM,DESMATAMENTO_CR,591
2018,1,6.65,AM,DESMATAMENTO_CR,30
2024,8,92.14,AM,DESMATAMENTO_CR,424
2019,5,167.28,AM,DESMATAMENTO_CR,309
